Month,Quantity
2013-07,00151345
2013-08,00278757
2013-09,00342140
2013-10,00468759
2013-11,00712153
2013-12,00733930
2014-01,00496021
2014-02,00347650
2014-03,00554990
2014-04,00403650
2014-05,00117900
2014-06,00198995
2014-07,00176000
2014-08,00084450
2014-09,00146390
2014-10,00191500
2014-11,00363500
2014-12,00421140
2015-01,00295999
2015-02,00199465
2015-03,00226300
2015-04,00306610
2015-05,00385860
2015-06,00134110
2015-07,00209765
2015-08,00219955
2015-09,00158998
2015-10,00279200
2015-11,00398100
2015-12,00414850
2016-01,00292380
2016-02,00285710
2016-03,00296240
2016-04,00364455
2016-05,00272225
2016-06,00254620
2016-07,00262750
2016-08,00223527
2016-09,00128200
2016-10,00155450
2016-11,00173290
2016-12,00309460
2017-01,00483060
2017-02,00383015
2017-03,00375515
2017-04,00449255
2017-05,00373125
2017-06,00211125
2017-07,00167347
2017-08,00316830
2017-09,00343750
2017-10,00228280
2017-11,00785070
2017-12,00568395
2018-01,00480835
2018-02,00393275
2018-03,00275089
2018-04,00416775
2018-05,00423315
2018-06,00396145
2018-07,00282600
2018-08,00464065
2018-09,00254050
2018-10,00180572
2018-11,00293000
2018-12,00322075
